d,delta_min,seed,lambda_min_analytic,lambda_min_fd,T_esc,zeta_eff,T_esc_pred
5,0.01,1,-0.053121045948230826,1.35524967248557e-07,499,0.00012431339614548477,14662.233864574695
5,0.01,2,-0.053121045948230826,1.355249734822189e-07,499,0.00036085605977875053,12656.111116005832
5,0.01,3,-0.053121045948230826,1.3552498323576856e-07,499,0.0004950519314243816,12060.897842350287
5,0.01,4,-0.053121045948230826,1.3552496690681648e-07,499,0.0008166669991498506,11118.580642033083
5,0.03162277660168379,0,-0.1693854684915989,4.228388443666935e-05,499,0.0005622875292409671,3707.2391584886186
5,0.03162277660168379,1,-0.1693854684915989,4.228388441340769e-05,499,0.00012431339614548477,4598.229150113952
5,0.03162277660168379,2,-0.1693854684915989,4.228388441605115e-05,499,0.00036085605977875053,3969.088175663695
5,0.03162277660168379,3,-0.1693854684915989,4.228388441340769e-05,499,0.0004950519314243816,3782.4230978360697
5,0.03162277660168379,4,-0.1693854684915989,4.228388441340769e-05,499,0.0008166669991498506,3486.902615815848
5,0.1,0,-0.5499520976623148,6.938861833738486e-05,499,0.0005622875292409671,1141.831160096011
5,0.1,1,-0.5499520976623148,6.938861833738486e-05,499,0.00012431339614548477,1416.2564378507514
5,0.1,2,-0.5499520976623148,-0.08269921433036131,499,0.00036085605977875053,1222.4807632829038
5,0.1,3,-0.5499520976623148,-0.04788397083994603,499,0.0004950519314243816,1164.9878438209118
5,0.1,4,-0.5499520976623148,6.938861833738486e-05,499,0.0008166669991498506,1073.9674158443017
8,0.001,0,-0.005293778339225931,7.252719642735446e-07,499,0.000601706612229391,117340.91199471326
8,0.001,1,-0.005293778339225931,7.252719099139521e-07,499,0.0014078781703965632,101283.02327359986
8,0.001,2,-0.005293778339225931,7.252719528270425e-07,499,0.0003492909319448574,127614.57185985311
8,0.001,3,-0.005293778339225931,7.252719178238421e-07,499,0.00047439701617326964,121831.56872796101
8,0.001,4,-0.005293778339225931,7.252719795660681e-07,499,3.826044412258189e-05,169389.81209764216
8,0.0031622776601683794,0,-0.041982762271104215,-9.961108178716968e-06,499,0.00019686123586912154,17457.25689086593
8,0.0031622776601683794,1,-0.041982762271104215,-9.961108109468597e-06,499,0.0015289851345959443,12574.632979056947
8,0.0031622776601683794,2,-0.041982762271104215,-9.961108051970756e-06,499,0.0007953991839620702,14131.2608458239
8,0.0031622776601683794,3,-0.041982762271104215,-9.961108085624316e-06,499,0.0004244488272880467,15627.238296017384
8,0.0031622776601683794,4,-0.041982762271104215,-9.961108112033006e-06,499,0.000805497996027797,14101.208969187495
8,0.01,0,-0.13302850078172074,-4.2419411709460064e-05,499,0.00019686123586912154,5509.374770429102
8,0.01,1,-0.13302850078172074,-4.2419411709460064e-05,499,0.0015289851345959443,3968.456563096705
8,0.01,2,-0.13302850078172074,-4.2419411709460064e-05,499,0.0007953991839620702,4459.716235204751
8,0.01,3,-0.13302850078172074,-4.2419411709460064e-05,499,0.0004244488272880467,4931.835106614566
8,0.01,4,-0.13302850078172074,-4.2419411709460064e-05,499,0.0008166669991498506,4450.2320962028625
8,0.03162277660168379,0,-0.42336247778227676,-4.553649636198759e-05,499,0.00019686123586912154,1731.1497934205963
8,0.03162277660168379,1,-0.42336247778227676,-0.010358396806374112,499,0.0015289851345959443,1246.9641376145476
8,0.03162277660168379,2,-0.42336247778227676,-0.0741560934447294,499,0.0007953991839620702,1401.3272215075456
8,0.03162277660168379,3,-0.42336247778227676,-4.5536496400188084e-05,499,0.0004244488272880467,1549.675903666158
8,0.03162277660168379,4,-0.42336247778227676,-4.5536496444317356e-05,499,0.000805497996027797,1398.347125587766
8,0.1,0,-1.366196446426897,-0.39839231291199195,499,0.00019686123586912154,536.4556963031428
8,0.1,1,-1.366196446426897,-0.4535103481717364,499,0.0015289851345959443,386.4142879209157
8,0.1,2,-1.366196446426897,-0.5195440747944389,499,0.0007953991839620702,434.24894438336753
8,0.1,3,-1.366196446426897,-0.2340734415663217,499,0.0004244488272880467,480.2198337226455
8,0.1,4,-1.366196446426897,-0.41609193688303314,499,0.000805497996027797,433.325460212459
